fiscal_year,Individual Income Taxes,Corporate Income Taxes,Excise Taxes,Other,SS and Retirement Receipts (total),SS and Retirement Receipts (on budget),SS and Retirement Receipts (off budget),Total Receipts (on budget),Total Receipts (off budget)
1979,0.47,0.142,0.04,0.048,0.3,0.088,0.212,0.788,0.212
1980,0.472,0.125,0.047,0.051,0.305,0.086,0.219,0.781,0.219
1981,0.477,0.102,0.068,0.048,0.305,0.088,0.217,0.783,0.217
1982,0.482,0.08,0.059,0.053,0.326,0.094,0.232,0.768,0.232
1983,0.481,0.062,0.059,0.05,0.348,0.103,0.245,0.755,0.245
1984,0.448,0.085,0.056,0.052,0.359,0.11,0.249,0.751,0.249
1985,0.456,0.084,0.049,0.05,0.361,0.108,0.254,0.746,0.254
1986,0.454,0.082,0.043,0.052,0.369,0.109,0.26,0.74,0.26
1987,0.46,0.098,0.038,0.049,0.355,0.105,0.25,0.75,0.25
1988,0.441,0.104,0.039,0.048,0.368,0.102,0.266,0.734,0.266
1989,0.45,0.104,0.035,0.049,0.363,0.097,0.266,0.734,0.266
1990,0.452,0.091,0.034,0.054,0.368,0.095,0.273,0.727,0.273
1991,0.443,0.093,0.04,0.048,0.375,0.097,0.279,0.721,0.279
1992,0.436,0.092,0.042,0.051,0.379,0.102,0.277,0.723,0.277
1993,0.442,0.102,0.042,0.044,0.371,0.101,0.27,0.73,0.27
1994,0.431,0.112,0.044,0.046,0.367,0.1,0.266,0.734,0.266
1995,0.437,0.116,0.043,0.046,0.358,0.099,0.26,0.74,0.26
1996,0.452,0.118,0.037,0.042,0.351,0.098,0.253,0.747,0.253
1997,0.467,0.115,0.036,0.04,0.342,0.093,0.248,0.752,0.248
1998,0.481,0.11,0.033,0.044,0.332,0.091,0.242,0.758,0.242
1999,0.481,0.101,0.039,0.044,0.335,0.092,0.243,0.757,0.243
2000,0.496,0.102,0.034,0.045,0.322,0.085,0.237,0.763,0.237
2001,0.499,0.076,0.033,0.043,0.349,0.094,0.255,0.745,0.255
2002,0.463,0.08,0.036,0.043,0.378,0.1,0.278,0.722,0.278
2003,0.445,0.074,0.038,0.043,0.4,0.106,0.294,0.706,0.294
2004,0.43,0.101,0.037,0.042,0.39,0.106,0.284,0.716,0.284
2005,0.431,0.129,0.034,0.038,0.369,0.101,0.268,0.732,0.268
2006,0.434,0.147,0.031,0.04,0.348,0.095,0.253,0.747,0.253
2007,0.453,0.144,0.025,0.039,0.339,0.091,0.247,0.753,0.247
2008,0.454,0.121,0.027,0.042,0.357,0.096,0.261,0.739,0.261
2009,0.435,0.066,0.03,0.047,0.423,0.113,0.311,0.689,0.311
2010,0.415,0.089,0.031,0.065,0.4,0.108,0.292,0.708,0.292
2011,0.474,0.079,0.031,0.061,0.355,0.11,0.246,0.754,0.246
2012,0.462,0.099,0.032,0.062,0.345,0.113,0.232,0.768,0.232
2013,0.474,0.099,0.03,0.055,0.342,0.099,0.243,0.757,0.243
2014,0.462,0.106,0.031,0.063,0.339,0.095,0.243,0.757,0.243
2015,0.474,0.106,0.03,0.062,0.328,0.091,0.237,0.763,0.237
2016,0.473,0.092,0.029,0.065,0.341,0.093,0.248,0.752,0.248
2017,0.479,0.09,0.025,0.056,0.35,0.094,0.257,0.743,0.257
2018,0.506,0.061,0.029,0.053,0.352,0.095,0.257,0.743,0.257
2019,0.496,0.066,0.029,0.05,0.359,0.095,0.264,0.736,0.264
2020,0.47,0.062,0.025,0.06,0.383,0.101,0.282,0.718,0.282
2021,0.505,0.092,0.019,0.06,0.325,0.089,0.235,0.765,0.235
2022,0.537,0.087,0.018,0.055,0.303,0.085,0.218,0.782,0.218

